"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"林檎","りんご","olma","ot","N5","Top 1000","⓪","","","","","私は毎朝りんごを食べます。","Men har kuni ertalab olma yeyman.","アップル","","りんご kundalik nutqda kana bilan yoziladi, 林檎 esa rasmiy/adabiy matnlarda ko'proq uchraydi. アップル — inglizcha o'zlashma, ko'pincha mahsulot nomlarida (アップルパイ kabi) ishlatiladi.","[{""kanji"": ""林"", ""meaning"": ""o'rmon"", ""kunReading"": ""hayashi"", ""onReading"": ""rin"", ""strokes"": 8}, {""kanji"": ""檎"", ""meaning"": ""olma daraxti"", ""kunReading"": ""-"", ""onReading"": ""kin"", ""strokes"": 17}]","[{""sentence"": ""赤いりんごが好きです。"", ""translation"": ""Men qizil olmani yoqtiraman.""}, {""sentence"": ""りんごジュースを買いました。"", ""translation"": ""Olma sharbati sotib oldim.""}]","[{""word"": ""りんご園"", ""hiragana"": ""りんごえん"", ""meaning"": ""olma bog'i""}, {""word"": ""アップルパイ"", ""hiragana"": ""あっぷるぱい"", ""meaning"": ""olma pirogi""}]"
"蜜柑","みかん","mandarin","ot","N5","Top 1000","①","","","","","冬になるとみかんをよく食べます。","Qish kelganda men ko'pincha mandarin yeyman.","","","みかん — Yaponiyada keng tarqalgan, po'sti yumshoq, mayda mandarin turi.","[{""kanji"": ""蜜"", ""meaning"": ""asal"", ""kunReading"": ""mitsu"", ""onReading"": ""mitsu"", ""strokes"": 14}, {""kanji"": ""柑"", ""meaning"": ""sitrus mevasi"", ""kunReading"": ""-"", ""onReading"": ""kan"", ""strokes"": 9}]","[{""sentence"": ""みかんの皮をむきます。"", ""translation"": ""Mandarinning po'stini archaman.""}, {""sentence"": ""箱いっぱいのみかんをもらいました。"", ""translation"": ""To'liq qutidagi mandarin oldim.""}]","[{""word"": ""みかん畑"", ""hiragana"": ""みかんばたけ"", ""meaning"": ""mandarin dalasi""}, {""word"": ""温州みかん"", ""hiragana"": ""うんしゅうみかん"", ""meaning"": ""unshu mandarin turi""}]"
"葡萄","ぶどう","uzum","ot","N4","Top 1000","⓪","","","","","ぶどうでワインを作ります。","Uzumdan vino tayyorlanadi.","","","-","[{""kanji"": ""葡"", ""meaning"": ""uzum (faqat shu so'zda ishlatiladi)"", ""kunReading"": ""-"", ""onReading"": ""bu"", ""strokes"": 12}, {""kanji"": ""萄"", ""meaning"": ""uzum (faqat shu so'zda ishlatiladi)"", ""kunReading"": ""-"", ""onReading"": ""tou"", ""strokes"": 11}]","[{""sentence"": ""種なしぶどうが好きです。"", ""translation"": ""Men danaksiz uzumni yoqtiraman.""}, {""sentence"": ""ぶどう棚に実がなりました。"", ""translation"": ""Uzum supasida hosil yetildi.""}]","[{""word"": ""ぶどう酒"", ""hiragana"": ""ぶどうしゅ"", ""meaning"": ""uzum vinosi""}, {""word"": ""干しぶどう"", ""hiragana"": ""ほしぶどう"", ""meaning"": ""mayiz""}]"
"苺","いちご","qulupnay","ot","N5","Top 1000","②","","","","","いちごのケーキが大好きです。","Men qulupnayli keksni juda yaxshi ko'raman.","","","-","[{""kanji"": ""苺"", ""meaning"": ""qulupnay"", ""kunReading"": ""ichigo"", ""onReading"": ""-"", ""strokes"": 8}]","[{""sentence"": ""いちごを冷蔵庫に入れました。"", ""translation"": ""Qulupnayni muzlatgichga qo'ydim.""}, {""sentence"": ""いちごジャムを作りました。"", ""translation"": ""Qulupnay murabbosi tayyorladim.""}]","[{""word"": ""いちご狩り"", ""hiragana"": ""いちごがり"", ""meaning"": ""qulupnay terish (sayohat turi)""}, {""word"": ""いちごミルク"", ""hiragana"": ""いちごみるく"", ""meaning"": ""qulupnayli sut""}]"
"桃","もも","shaftoli","ot","N4","Top 2000","⓪","","","","","ももは甘くてジューシーです。","Shaftoli shirin va sharbatli bo'ladi.","","","-","[{""kanji"": ""桃"", ""meaning"": ""shaftoli"", ""kunReading"": ""momo"", ""onReading"": ""tou"", ""strokes"": 10}]","[{""sentence"": ""桃の花が咲きました。"", ""translation"": ""Shaftoli guli ochildi.""}, {""sentence"": ""桃缶を開けました。"", ""translation"": ""Konservalangan shaftoli ochdim.""}]","[{""word"": ""桃色"", ""hiragana"": ""ももいろ"", ""meaning"": ""pushti rang""}, {""word"": ""白桃"", ""hiragana"": ""はくとう"", ""meaning"": ""oq shaftoli""}]"
"梨","なし","nok","ot","N4","Top 2000","⓪","","","","","日本の梨は大きくて甘いです。","Yaponiya noki katta va shirin bo'ladi.","","","-","[{""kanji"": ""梨"", ""meaning"": ""nok"", ""kunReading"": ""nashi"", ""onReading"": ""ri"", ""strokes"": 11}]","[{""sentence"": ""梨をむいて食べました。"", ""translation"": ""Nokni archib yedim.""}, {""sentence"": ""梨狩りに行きました。"", ""translation"": ""Nok terishga bordim.""}]","[{""word"": ""洋梨"", ""hiragana"": ""ようなし"", ""meaning"": ""g'arbiy nok turi""}, {""word"": ""梨園"", ""hiragana"": ""りえん"", ""meaning"": ""nok bog'i""}]"
"柿","かき","xurmo (yapon xurmosi)","ot","N3","Top 3000","⓪","","","","","秋には柿がおいしくなります。","Kuzda xurmo mazali bo'ladi.","","","-","[{""kanji"": ""柿"", ""meaning"": ""xurmo"", ""kunReading"": ""kaki"", ""onReading"": ""shi"", ""strokes"": 9}]","[{""sentence"": ""柿の木を植えました。"", ""translation"": ""Xurmo daraxti ektim.""}, {""sentence"": ""干し柿は甘いです。"", ""translation"": ""Quritilgan xurmo shirin bo'ladi.""}]","[{""word"": ""干し柿"", ""hiragana"": ""ほしがき"", ""meaning"": ""quritilgan xurmo""}, {""word"": ""渋柿"", ""hiragana"": ""しぶがき"", ""meaning"": ""achchiq xurmo turi""}]"
"西瓜","すいか","tarvuz","ot","N4","Top 1000","⓪","","","","","夏になるとすいかが食べたくなります。","Yoz kelganda tarvuz yegim keladi.","","","-","[{""kanji"": ""西"", ""meaning"": ""g'arb"", ""kunReading"": ""nishi"", ""onReading"": ""sei"", ""strokes"": 6}, {""kanji"": ""瓜"", ""meaning"": ""qovoq/qovun turi"", ""kunReading"": ""uri"", ""onReading"": ""-"", ""strokes"": 5}]","[{""sentence"": ""すいかを冷やしました。"", ""translation"": ""Tarvuzni sovutdim.""}, {""sentence"": ""すいか割りをしました。"", ""translation"": ""Tarvuz urish o'yinini o'ynadik.""}]","[{""word"": ""すいか割り"", ""hiragana"": ""すいかわり"", ""meaning"": ""tarvuz urish o'yini""}, {""word"": ""小玉すいか"", ""hiragana"": ""こだますいか"", ""meaning"": ""kichik tarvuz turi""}]"
"栗","くり","kashtan","ot","N3","Top 3000","⓪","","","","","秋になると栗ご飯を作ります。","Kuzda kashtanli guruch ovqati tayyorlayman.","","","-","[{""kanji"": ""栗"", ""meaning"": ""kashtan"", ""kunReading"": ""kuri"", ""onReading"": ""ritsu"", ""strokes"": 10}]","[{""sentence"": ""焼き栗を食べました。"", ""translation"": ""Qovurilgan kashtan yedim.""}, {""sentence"": ""栗の皮をむくのは大変です。"", ""translation"": ""Kashtanning po'stini archish qiyin.""}]","[{""word"": ""栗ご飯"", ""hiragana"": ""くりごはん"", ""meaning"": ""kashtanli guruch""}, {""word"": ""焼き栗"", ""hiragana"": ""やきぐり"", ""meaning"": ""qovurilgan kashtan""}]"
"バナナ","ばなな","banan","ot","N5","Top 1000","①","","","","","朝食にバナナを食べます。","Nonushtada banan yeyman.","","","-","[]","[{""sentence"": ""バナナは栄養が豊富です。"", ""translation"": ""Bananda ozuqa moddalar ko'p.""}, {""sentence"": ""バナナを冷凍しました。"", ""translation"": ""Bananni muzlatdim.""}]","[{""word"": ""バナナジュース"", ""hiragana"": ""ばななじゅーす"", ""meaning"": ""banan sharbati""}, {""word"": ""バナナチップス"", ""hiragana"": ""ばななちっぷす"", ""meaning"": ""banan chipsi""}]"
"メロン","めろん","qovun","ot","N4","Top 3000","①","","","","","このメロンはとても甘いです。","Bu qovun juda shirin.","","","-","[]","[{""sentence"": ""メロンを半分に切りました。"", ""translation"": ""Qovunni ikkiga bo'ldim.""}, {""sentence"": ""夕張メロンは有名です。"", ""translation"": ""Yubari qovuni mashhur.""}]","[{""word"": ""メロンパン"", ""hiragana"": ""めろんぱん"", ""meaning"": ""qovun shaklidagi non""}, {""word"": ""メロンソーダ"", ""hiragana"": ""めろんそーだ"", ""meaning"": ""qovunli gazlangan ichimlik""}]"
"パイナップル","ぱいなっぷる","ananas","ot","N3","Top 3000","③","","","","","パイナップルは沖縄でよく作られます。","Ananas ko'pincha Okinavada yetishtiriladi.","","","-","[]","[{""sentence"": ""パイナップルを切りました。"", ""translation"": ""Ananasni kesdim.""}, {""sentence"": ""パイナップルケーキを焼きました。"", ""translation"": ""Ananasli keks pishirdim.""}]","[{""word"": ""パイナップルジュース"", ""hiragana"": ""ぱいなっぷるじゅーす"", ""meaning"": ""ananas sharbati""}, {""word"": ""パイナップルケーキ"", ""hiragana"": ""ぱいなっぷるけーき"", ""meaning"": ""ananasli keks""}]"
"レモン","れもん","limon","ot","N5","Top 1000","①","","","","","紅茶にレモンを入れます。","Choyga limon qo'shaman.","","","-","[]","[{""sentence"": ""レモンは酸っぱいです。"", ""translation"": ""Limon nordon bo'ladi.""}, {""sentence"": ""レモン水を飲みました。"", ""translation"": ""Limonli suv ichdim.""}]","[{""word"": ""レモンティー"", ""hiragana"": ""れもんてぃー"", ""meaning"": ""limonli choy""}, {""word"": ""レモン水"", ""hiragana"": ""れもんすい"", ""meaning"": ""limonli suv""}]"
