"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"ハンサム[な]","ハンサム[な]","xushro'y, kelishgan (erkak kishiga nisbatan)","na-sifat","N5","Top 5000","①","","","","","ミラーさんはハンサムです。(みらーさんははんさむです。)","Janob Miller kelishgan yigit.","かっこいい","","Bu dars na-sifatlar bilan boshlanadi: ot oldidan kelganda 「な」 qo'shiladi (ハンサム**な**人), kesim bo'lganda esa qo'shilmaydi (ハンサム**です**). Faqat erkaklarga nisbatan; kundalik nutqda 「かっこいい」 ko'proq.","[]","[{""sentence"":""ハンサムな人ですね。(はんさむなひとですね。)"",""translation"":""Kelishgan yigit ekan.""},{""sentence"":""あの人はハンサムじゃありません。(あのひとははんさむじゃありません。)"",""translation"":""U kishi unchalik kelishgan emas.""}]","[]"
"きれい[な]","きれい[な]","chiroyli, go'zal; toza, ozoda","na-sifat","N5","Top 500","①","","","","","桜はとてもきれいです。(さくらはとてもきれいです。)","Sakura juda chiroyli.","美しい, すてき","汚い","Muhim tuzoq: 「きれい」 「い」 bilan tugasa ham i-sifat EMAS, na-sifat — 「きれいな花」, 「きれくない」 emas 「きれいじゃない」. Xuddi shunday 「嫌い（きらい）」 ham na-sifat. Ikki ma'noli: chiroyli va toza.","[]","[{""sentence"":""きれいな部屋ですね。(きれいなへやですね。)"",""translation"":""Qanday ozoda xona!""},{""sentence"":""手をきれいに洗ってください。(てをきれいにあらってください。)"",""translation"":""Qo'lingizni toza yuving.""}]","[{""word"":""きれいに"",""hiragana"":""きれいに"",""meaning"":""chiroyli qilib, toza qilib""}]"
"静か[な]","しずか[な]","tinch, osoyishta, jimjit","na-sifat","N5","Top 1000","①","","","","","この町は静かです。(このまちはしずかです。)","Bu shahar tinch.","穏やか","にぎやか, うるさい","「静かに」 shaklida ravish bo'ladi — na-sifatlar 「に」 bilan ravishga aylanadi (i-sifatlar esa 「く」 bilan). 「にぎやか」 ning ziddi.","[{""kanji"":""静"",""meaning"":""tinch, sokin"",""kunReading"":""shizu"",""onReading"":""sei"",""strokes"":14}]","[{""sentence"":""静かな所に住みたいです。(しずかなところにすみたいです。)"",""translation"":""Tinch joyda yashamoqchiman.""},{""sentence"":""図書館では静かにしてください。(としょかんではしずかにしてください。)"",""translation"":""Kutubxonada tinch turing.""}]","[{""word"":""静かに"",""hiragana"":""しずかに"",""meaning"":""jimgina, sekin""}]"
"にぎやか[な]","にぎやか[な]","gavjum, sershovqin, jonli","na-sifat","N5","Top 2000","②","","","","","大阪はにぎやかな町です。(おおさかはにぎやかなまちです。)","Osaka — gavjum shahar.","活気がある","静か","Ijobiy ma'noda — odam ko'p, jonli, ko'ngilli. Salbiy ""shovqinli"" ma'nosi uchun boshqa so'z bor: 「うるさい」.","[]","[{""sentence"":""この店はいつもにぎやかです。(このみせはいつもにぎやかです。)"",""translation"":""Bu do'kon doim gavjum.""},{""sentence"":""にぎやかで楽しいです。(にぎやかでたのしいです。)"",""translation"":""Gavjum va qiziqarli.""}]","[]"
"有名[な]","ゆうめい[な]","mashhur, taniqli","na-sifat","N5","Top 1000","⓪","","","","","富士山は有名な山です。(ふじさんはゆうめいなやまです。)","Fuji — mashhur tog'.","著名","無名","「有（bor）」＋「名（nom）」 — ""nomi bor"". Ziddi 「無名（むめい）」 — ""nomsiz"". Nima bilan mashhurligi 「で」 bilan: 「京都はお寺で有名です」.","[{""kanji"":""有"",""meaning"":""bor bo'lmoq, ega bo'lmoq"",""kunReading"":""a"",""onReading"":""yuu, u"",""strokes"":6},{""kanji"":""名"",""meaning"":""ism, nom"",""kunReading"":""na"",""onReading"":""mei"",""strokes"":6}]","[{""sentence"":""この店は有名です。(このみせはゆうめいです。)"",""translation"":""Bu do'kon mashhur.""},{""sentence"":""京都は古い町で、有名です。(きょうとはふるいまちで、ゆうめいです。)"",""translation"":""Kioto — qadimiy va mashhur shahar.""}]","[{""word"":""名前"",""hiragana"":""なまえ"",""meaning"":""ism""}]"
"親切[な]","しんせつ[な]","mehribon, xushmuomala","na-sifat","N5","Top 2000","①","","","","","この町の人は親切です。(このまちのひとはしんせつです。)","Bu shahar odamlari mehribon.","優しい","不親切","「親切」 — boshqaga g'amxo'rlik ko'rsatishdagi mehribonlik (ish bilan). 「優しい（やさしい）」 esa tabiatan yumshoq, muloyimlik. Hurmat shakli 「ご親切」.","[{""kanji"":""親"",""meaning"":""ota-ona, yaqin"",""kunReading"":""oya, shita"",""onReading"":""shin"",""strokes"":16},{""kanji"":""切"",""meaning"":""kesmoq; jiddiy"",""kunReading"":""ki"",""onReading"":""setsu"",""strokes"":4}]","[{""sentence"":""親切な先生です。(しんせつなせんせいです。)"",""translation"":""Mehribon ustoz.""},{""sentence"":""ご親切にありがとうございます。(ごしんせつにありがとうございます。)"",""translation"":""Mehribonligingiz uchun rahmat.""}]","[{""word"":""親"",""hiragana"":""おや"",""meaning"":""ota-ona""}]"
"元気[な]","げんき[な]","sog'lom, baquvvat, tetik","na-sifat","N5","Top 500","①","","","","","お元気ですか。(おげんきですか。)","Yaxshimisiz? (Sog'-salomatmisiz?)","健康","病気","「元（asos）」＋「気（ruh, quvvat）」. Ham sifat, ham ot bo'la oladi: 「元気がない」 — kayfiyati yo'q. Salomlashuvda 「お元気ですか」 uzoq ko'rishmagan kishiga aytiladi, har kuni ko'rishadiganga emas.","[{""kanji"":""元"",""meaning"":""asos, kelib chiqish"",""kunReading"":""moto"",""onReading"":""gen, gan"",""strokes"":4},{""kanji"":""気"",""meaning"":""havo, ruh, kayfiyat"",""kunReading"":""-"",""onReading"":""ki, ke"",""strokes"":6}]","[{""sentence"":""はい、元気です。(はい、げんきです。)"",""translation"":""Ha, yaxshiman.""},{""sentence"":""元気な子どもですね。(げんきなこどもですね。)"",""translation"":""Tetik bola ekan.""}]","[{""word"":""元気がない"",""hiragana"":""げんきがない"",""meaning"":""kayfiyati yo'q, tobi qochgan""}]"
"暇[な]","ひま[な]","bo'sh (vaqti), ishi yo'q","na-sifat","N5","Top 2000","⓪","","","","","あしたは暇です。(あしたはひまです。)","Ertaga bo'shman.","自由な時間","忙しい","「忙しい」 ning ziddi. Ham sifat, ham ot: 「暇がない」 — vaqtim yo'q. Diqqat: kimningdir bo'sh vaqtini so'raganda 「お暇ですか」 deyish ba'zan ""ishingiz yo'qmi?"" kabi eshitilishi mumkin — 「お時間ありますか」 xavfsizroq.","[{""kanji"":""暇"",""meaning"":""bo'sh vaqt"",""kunReading"":""hima"",""onReading"":""ka"",""strokes"":13}]","[{""sentence"":""暇なとき、映画を見ます。(ひまなとき、えいがをみます。)"",""translation"":""Bo'sh vaqtimda kino ko'raman.""},{""sentence"":""今晩、暇ですか。(こんばん、ひまですか。)"",""translation"":""Bugun kechqurun bo'shmisiz?""}]","[{""word"":""暇な時"",""hiragana"":""ひまなとき"",""meaning"":""bo'sh vaqt""}]"
"便利[な]","べんり[な]","qulay, foydali","na-sifat","N5","Top 1000","①","","","","","この辞書は便利です。(このじしょはべんりです。)","Bu lug'at qulay.","","不便","Ziddi 「不便（ふべん）」. 4-darsdagi 「郵便局」 dagi 「便」 shu belgidan — asl ma'nosi ""qulaylik, xabar yetkazish"". 「コンビニ」 ham shu tushunchadan (convenience store).","[{""kanji"":""便"",""meaning"":""qulaylik, xabar"",""kunReading"":""tayo"",""onReading"":""ben, bin"",""strokes"":9},{""kanji"":""利"",""meaning"":""foyda, manfaat"",""kunReading"":""ki"",""onReading"":""ri"",""strokes"":7}]","[{""sentence"":""便利な所に住んでいます。(べんりなところにすんでいます。)"",""translation"":""Qulay joyda yashayman.""},{""sentence"":""地下鉄は便利です。(ちかてつはべんりです。)"",""translation"":""Metro qulay.""}]","[{""word"":""不便"",""hiragana"":""ふべん"",""meaning"":""noqulay""}]"
"すてき[な]","すてき[な]","ajoyib, chiroyli, did bilan qilingan","na-sifat","N5","Top 2000","⓪","","","","","すてきなシャツですね。(すてきなしゃつですね。)","Chiroyli ko'ylak ekan!","きれい, すばらしい","","7-darsdagi 「すてきですね」 shu sifatdan. 「きれい」 ko'zga chiroyli bo'lsa, 「すてき」 did va uslubga qoyil qolishni bildiradi — kiyim, uy jihozi va bezakka nisbatan ko'p ishlatiladi.","[]","[{""sentence"":""すてきな庭ですね。(すてきなにわですね。)"",""translation"":""Qanday chiroyli hovli!""},{""sentence"":""その帽子、すてきです。(そのぼうし、すてきです。)"",""translation"":""Bu shlyapangiz zo'r.""}]","[]"
